线路,站点,产业园区,楼宇相关,住宅区
4,中医药大学站,0,0,7
2,中河北路站,6,63,648
2,振宁路站,4,11,16
1,闸弄口站,6,11,63
1,云水站,1,5,131
1,余杭高铁站,4,0,0
4,甬江路站,2,4,20
2,盈丰路站,2,20,8
4,杨家墩站,0,1,17
2,学院路站,14,79,269
4,新塘站,1,78,390
4,新风站,1,78,390
1,湘湖站,1,1,10
1,下沙西站,1,5,9
1,下沙江滨站,1,13,45
2,下宁桥站,4,29,380
2,虾龙圩站,6,23,19
1,西兴站,13,11,13
1,西湖文化广场站,3,35,56
1,婺江路站,2,9,36
2,武林门站,2,76,188
1,武林广场站,2,76,188
1,翁梅站,2,0,7
1,文泽路站,4,3,26
2,文新站,1,78,390
1,文海南路站,7,2,22
4,水澄桥站,5,3,18
4,市民中心站,0,40,34
2,沈塘桥站,7,46,610
2,三墩站,0,8,38
2,三坝站,4,15,14
2,人民路站,0,26,40
2,人民广场站,2,20,41
2,庆菱路站,9,30,872
2,庆春广场站,0,41,420
1,乔司站,0,1,3
1,乔司南站,1,1,6
2,钱江世纪城站,1,13,4
2,钱江路站,5,33,500
4,钱江路站,5,33,500
1,七堡站,0,0,8
4,浦沿站,5,8,17
1,彭埠站,1,8,15
2,潘水站,0,0,4
1,南苑站,1,78,390
4,南星桥站,13,12,40
1,龙翔桥站,3,49,159
1,临平站,0,2,11
2,良渚站,0,2,11
4,联庄站,15,6,35
1,客运中心站,0,5,28
1,九和路站,4,19,323
1,九堡站,9,10,17
4,景芳站,4,22,567
4,近江站,2,12,38
1,金沙湖站,4,13,28
2,金家渡站,4,4,18
1,江陵路站,4,35,8
4,江锦路站,3,33,21
2,建设一路站,1,1,10
2,建设三路站,8,18,8
2,建国北路站,5,35,780
4,火车东站,1,13,11
2,杭发厂站,3,25,25
2,古翠路站,5,37,421
1,高沙路站,4,15,25
4,复兴路站,7,12,27
1,凤起路站,3,66,360
2,凤起路站,3,66,360
2,丰潭路站,1,17,27
2,飞虹路站,4,8,12
2,墩祥街站,0,2,43
2,杜甫村站,0,1,12
1,定安路站,3,33,177
1,打铁关站,2,27,63
1,城站,0,30,145
4,城星路站,0,34,121
2,朝阳站,3,0,6
2,曹家桥站,0,1,11
1,滨康路站,1,2,44
1,滨和路站,1,2,18
2,白洋站,1,3,7
